id;fecha;valor;variacion;fuente;created_at
383;20231127;58690.18;0.06;archivo_dat;2026-01-05 08:23:29
384;20231128;57618.21;-1.83;archivo_dat;2026-01-05 08:23:29
385;20231129;57557.13;-0.11;archivo_dat;2026-01-05 08:23:29
386;20231130;57827.33;0.47;archivo_dat;2026-01-05 08:23:29
387;20231201;57522.83;-0.53;archivo_dat;2026-01-05 08:23:29
388;20231204;58424.36;1.57;archivo_dat;2026-01-05 08:23:29
389;20231205;58341.02;-0.14;archivo_dat;2026-01-05 08:23:29
390;20231206;58331.32;-0.02;archivo_dat;2026-01-05 08:23:29
391;20231207;58009.49;-0.55;archivo_dat;2026-01-05 08:23:29
392;20231208;57096.93;-1.57;archivo_dat;2026-01-05 08:23:29
393;20231212;56971.21;-0.22;archivo_dat;2026-01-05 08:23:29
394;20231213;55993.44;-1.72;archivo_dat;2026-01-05 08:23:29
395;20231214;54996.3;-1.78;archivo_dat;2026-01-05 08:23:29
396;20231215;54642.53;-0.64;archivo_dat;2026-01-05 08:23:29
397;20231218;54493.93;-0.27;archivo_dat;2026-01-05 08:23:29
398;20231219;53371.56;-2.06;archivo_dat;2026-01-05 08:23:29
399;20231220;55422.46;3.84;archivo_dat;2026-01-05 08:23:29
400;20231221;55390.33;-0.06;archivo_dat;2026-01-05 08:23:29
401;20231222;55910.68;0.94;archivo_dat;2026-01-05 08:23:29
402;20231226;56522.71;1.09;archivo_dat;2026-01-05 08:23:29
403;20231227;56305.16;-0.38;archivo_dat;2026-01-05 08:23:29
404;20231228;56366.66;0.11;archivo_dat;2026-01-05 08:23:29
405;20231229;57832.46;2.6;archivo_dat;2026-01-05 08:23:29
406;20240102;58288.82;0.79;archivo_dat;2026-01-05 08:23:29
407;20240103;58059.49;-0.39;archivo_dat;2026-01-05 08:23:29
408;20240104;57525.8;-0.92;archivo_dat;2026-01-05 08:23:29
409;20240105;57164.41;-0.63;archivo_dat;2026-01-05 08:23:29
410;20240108;56755.28;-0.72;archivo_dat;2026-01-05 08:23:29
411;20240109;56041.38;-1.26;archivo_dat;2026-01-05 08:23:29
412;20240110;56142.25;0.18;archivo_dat;2026-01-05 08:23:29
413;20240111;55762.9;-0.68;archivo_dat;2026-01-05 08:23:29
414;20240112;55899.57;0.25;archivo_dat;2026-01-05 08:23:29
415;20240115;56602.8;1.26;archivo_dat;2026-01-05 08:23:29
416;20240116;56758.28;0.27;archivo_dat;2026-01-05 08:23:29
417;20240117;56790.57;0.06;archivo_dat;2026-01-05 08:23:29
418;20240118;56618.17;-0.3;archivo_dat;2026-01-05 08:23:29
419;20240119;57584.23;1.71;archivo_dat;2026-01-05 08:23:29
420;20240122;57953.2;0.64;archivo_dat;2026-01-05 08:23:29
421;20240123;57979.93;0.05;archivo_dat;2026-01-05 08:23:29
422;20240124;57539.41;-0.76;archivo_dat;2026-01-05 08:23:29
423;20240125;56841.48;-1.21;archivo_dat;2026-01-05 08:23:29
424;20240126;55030.26;-3.19;archivo_dat;2026-01-05 08:23:29
425;20240129;54140.02;-1.62;archivo_dat;2026-01-05 08:23:29
426;20240130;54237.16;0.18;archivo_dat;2026-01-05 08:23:29
427;20240131;53529.95;-1.3;archivo_dat;2026-01-05 08:23:29
428;20240201;53253.29;-0.52;archivo_dat;2026-01-05 08:23:29
429;20240202;54103.19;1.6;archivo_dat;2026-01-05 08:23:29
430;20240205;53702.64;-0.74;archivo_dat;2026-01-05 08:23:29
431;20240206;53543.86;-0.3;archivo_dat;2026-01-05 08:23:29
432;20240207;52077.81;-2.74;archivo_dat;2026-01-05 08:23:29
433;20240208;52839.06;1.46;archivo_dat;2026-01-05 08:23:29
434;20240209;53320.11;0.91;archivo_dat;2026-01-05 08:23:29
435;20240214;53005.23;-0.59;archivo_dat;2026-01-05 08:23:29
436;20240215;53114.01;0.21;archivo_dat;2026-01-05 08:23:29
437;20240216;51607.08;-2.84;archivo_dat;2026-01-05 08:23:29
438;20240219;51535.57;-0.14;archivo_dat;2026-01-05 08:23:29
439;20240220;51268.63;-0.52;archivo_dat;2026-01-05 08:23:29
440;20240221;49772.51;-2.92;archivo_dat;2026-01-05 08:23:29
441;20240222;50620.56;1.7;archivo_dat;2026-01-05 08:23:29
442;20240223;50807.87;0.37;archivo_dat;2026-01-05 08:23:29
